Word-patterns,value,
felt,3,
αισθητός,3,
felt enough,4,
felt strongly,4,
αρκετά αισθητός,4,
πολύ αισθητός,4,
κουδούνισαν τζάμια,4,
powerful,5,
strong,5,
big,5,
evacuation,5,
δυνατός,5,
ισχυρός,5,
μεγάλος,5,
μικρές κατολισθήσεις βράχων,5,
disruption,6,
minor damage,6,
windows crack,6,
windows break,6,
landslides,6,
agony,6,
μικρές ζημιές,6,
ράγισμα,6,
σπάσιμο τζαμιών,6,
έσπασαν τζάμια,6,
ράγισαν τζάμια,6,
κατολισθήσεις,6,
κατολίσθηση,6,
αγωνία,6,
αναστάτωση,6,
damage,7,
major damage,7,
general alert,7,
emergency situation,7,
fear,7,
terror,7,
panic,7,
stadium evacuation,7,
emergency situation,7,
catastrophe,7,
catastrophic,7,
ζημιές,7,
μεγάλες ζημιές,7,
εκκένωση,7,
φόβος,7,
τρόμος,7,
πανικός,7,*
εκκένωση σταδίου,7,
καταστροφή,7,
καταστροφικός,7,
κατεστραμμένος,7,
cracks on roads,"7,5",
ρωγμές στους δρόμους,"7,5",
μεγάλες κατολισθήσεις βράχων,"7,5",
earthquake victims,8,
evasion,8,
collapsed,8,
σπίτια έχουν καταρρεύσει,8,
άνοιξαν τάφοι,8,
κατέρρευσαν,8,
κατάρρευση σπιτιών,8,
εγκλωβισ,8,
άστεγ,8,
βιβλική καταστροφή,8,
τεράστια καταστροφή,8,
destroys houses,8,
rubble,8,
ruins,"8,5",
guts,"8,5",
debris,"8,5",
ruble,"8,5",
πολύ μεγάλες ζημιές,"8,5",
χαλάσματα,"8,5",
heavy damage,9,
many houses have been collapsed,9,
Bombed landscape,9,
βομβαρδισμένο,9,
πολλά σπίτια έχουν καταρρεύσει,9,
ολική καταστροφή,9,
ghost village,10,
χωριό φάντασμα,10,
most houses in area collapsed,"10,5",
